"","Book_Name","Author","Rating","Reviews","Price_baht","Fiction"
"139","It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered","Lysa TerKeurst",4.8,7062,7062,"Non Fiction"
"140","Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young",4.9,19576,19576,"Non Fiction"
"141","JOURNEY TO THE ICE P","RH Disney",4.6,978,978,"Fiction"
"142","Joyland (Hard Case Crime)","Stephen King",4.5,4748,4748,"Fiction"
"143","Killers of the Flower Moon: The Osage Murders and the Birth of the FBI","David Grann",4.6,8393,8393,"Non Fiction"
"144","Killing Jesus (Bill O'Reilly's Killing Series)","Bill O'Reilly",4.5,11391,11391,"Non Fiction"
"145","Killing Kennedy: The End of Camelot","Bill O'Reilly",4.6,8634,8634,"Non Fiction"
"146","Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)","Bill O'Reilly",4.7,9342,9342,"Non Fiction"
"147","Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series)","Bill O'Reilly",4.6,10927,10927,"Non Fiction"
"148","Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series)","Bill O'Reilly",4.6,5235,5235,"Non Fiction"
"149","Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series)","Bill O'Reilly",4.8,8916,8916,"Non Fiction"
"150","Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.)","Anthony Bourdain",4.8,2507,2507,"Non Fiction"
"151","Knock-Knock Jokes for Kids","Rob Elliott",4.5,3673,3673,"Non Fiction"
"152","Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children<U+0092>s Book)","Jill Twiss",4.9,11881,11881,"Fiction"
"153","Laugh-Out-Loud Jokes for Kids","Rob Elliott",4.6,6990,6990,"Non Fiction"
"154","Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg",4.5,6132,6132,"Non Fiction"
"155","Leonardo da Vinci","Walter Isaacson",4.5,3014,3014,"Non Fiction"
"156","Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering","Paper Peony Press",4.4,7550,7550,"Non Fiction"
